번호,항목,값,라벨
SQ1_1,지역,1,서울
SQ1_1,지역,2,부산
SQ1_1,지역,3,대구
SQ1_1,지역,4,인천
SQ1_1,지역,5,광주
SQ1_1,지역,6,대전
SQ1_1,지역,7,울산
SQ1_1,지역,8,경기
SQ1_1,지역,9,강원
SQ1_1,지역,10,충북
SQ1_1,지역,11,충남
SQ1_1,지역,12,전북
SQ1_1,지역,13,전남
SQ1_1,지역,14,경북
SQ1_1,지역,15,경남
SQ1_1,지역,16,제주
SQ1_1,지역,99,모름/ 무응답
SQ1_2,거주하는 시군구 유형,1,시지역
SQ1_2,거주하는 시군구 유형,2,군지역
SQ1_2,거주하는 시군구 유형,3,구지역
SQ1_2,거주하는 시군구 유형,9,모름/ 무응답
SQ1_3,거주하는 읍면동 유형,1,읍지역
SQ1_3,거주하는 읍면동 유형,2,면지역
SQ1_3,거주하는 읍면동 유형,3,동지역
SQ1_3,거주하는 읍면동 유형,9,모름/ 무응답
SQ2,성별,1,남
SQ2,성별,2,여
SQ2,성별,9,모름/ 무응답
SQ3,연령,99,모름/ 무응답
SQ4,2017년 사업 및 구직 신청 월(달),1,1월
SQ4,2018년 사업 및 구직 신청 월(달),2,2월
SQ4,2019년 사업 및 구직 신청 월(달),3,3월
SQ4,2020년 사업 및 구직 신청 월(달),4,4월
SQ4,2021년 사업 및 구직 신청 월(달),5,5월
SQ4,2022년 사업 및 구직 신청 월(달),9,모름/ 무응답
SQ5,수행기관 및 유형,1,지자체
SQ5,수행기관 및 유형,2,노인복지관
SQ5,수행기관 및 유형,3,노인복지센터
SQ5,수행기관 및 유형,4,대한노인회
SQ5,수행기관 및 유형,5,시니어클럽
SQ5,수행기관 및 유형,6,지역문화원
SQ5,수행기관 및 유형,7,사회복지관
SQ5,수행기관 및 유형,8,기타
SQ5,수행기관 및 유형,9,모름/ 무응답
SQ6,참여사업 및 유형,1,노노케어
SQ6,참여사업 및 유형,2,취약계층지원
SQ6,참여사업 및 유형,3,공공시설봉사
SQ6,참여사업 및 유형,4,경륜전수활동
SQ6,참여사업 및 유형,5,인력파견형
SQ6,참여사업 및 유형,6,공동작업형
SQ6,참여사업 및 유형,7,제조판매형
SQ6,참여사업 및 유형,8,전문서비스형
SQ6,참여사업 및 유형,9,모름/ 무응답
A1,노인 일자리 및 사회활동 지원사업 활동 내용,11,노노케어 : 노노케어
A1,노인 일자리 및 사회활동 지원사업 활동 내용,21,취약계층 지원 : 장애인 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,22,취약계층 지원 : 다문화가정 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,23,취약계층 지원 : 한부모 가정 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,24,취약계층 지원 : 청소년선도 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,25,취약계층 지원 : 생활시설이용자 지원
A1,노인 일자리 및 사회활동 지원사업 활동 내용,31,공공시설 봉사 : 보육시설 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,32,공공시설 봉사 : 지역아동센터 봉사
