Date,201711,201711,201712,201712,201801,201801,201802,201802,201803,201803,201804,201804,201805,201805,201806,201806,201807,201807,201808,201808,201809,201809,201810,201810,201811,201811
Kind,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도
0,검찰,74,국민의당,65,통합,74,김영철,60,김정은,64,드루,80,회담,103,이재명,74,기무사,83,김경수,63,평양,102,선언,47,김정은,26
1,국정원,71,통합,50,검찰,60,다스,48,안희정,64,김정은,78,북미,86,김정은,66,문건,80,기무사,54,김정은,90,이재명,43,이언주,23
2,귀순,66,검찰,44,다스,59,김여정,47,정봉주,52,김기식,64,트럼프,59,북미,52,계엄,61,상봉,50,남북,67,국감,43,여야,22
3,트럼프,61,투표,39,평창,52,평창,39,홍준표,48,남북,56,김정은,55,트럼프,45,북미,43,남북,43,비핵화,65,방북,40,경제,21
4,수사,53,합의,37,남북,52,검찰,37,검찰,42,김경수,51,드루,55,회담,44,노회찬,40,특검,41,선언,64,평화,39,전원책,19
5,북한,42,의혹,35,국민의당,50,방남,36,의혹,40,선언,49,정상회담,54,김부선,41,국회,38,국회,40,정상회담,57,평양,39,임종석,17
6,전병헌,38,안철수,31,국정원,49,박근혜,35,특사,40,박근혜,45,김성태,53,홍준표,40,회담,38,이산가족,36,북미,47,남북,36,교체,15
7,특활비,36,조사,30,수사,48,북미,31,조사,36,정상회담,41,홍준표,48,선거,39,비핵화,36,폐지,33,회담,47,김정은,35,북미,15
8,박근혜,36,홍준표,29,현송월,39,수사,29,구속,33,남북정상회담,38,판문점,43,남북,36,김정은,32,선언,33,특사,46,교황,35,남북,13
9,상납,30,박주원,28,회담,38,김정은,28,대북,32,댓글,35,핵실험,42,민주당,32,협상,32,특활비,33,트럼프,41,유치원,33,회담,13
10,홍준표,30,국정원,27,안철수,35,올림픽,25,개헌안,31,비핵화,34,국회,41,지방선거,32,선언,31,석탄,31,방북,36,여야,31,홍준표,13
11,의혹,26,박근혜,26,정치,29,예술,25,미투,30,회담,32,비핵화,40,정상회담,29,남북,30,방북,31,정상,34,제재,31,발언,12
