,Title,Score,Searching,VOD이용건수,해외영화제수상,국내영화제수상,관객수
0,보헤미안 랩소디,9.65,3389700,0,0,0,41007
1,폴란드로 간 아이들,9.53,105200,0,0,0,7864
2,아일라,9.47,4710,22890,0,0,14574
3,당갈,9.46,6980,0,0,0,54661
4,덕구,9.45,11230,0,0,0,50850
5,쇼생크 탈출,9.42,30900,0,0,0,132711
6,원더,9.41,39090,18294,0,0,114196
7,터미네이터 2,9.4,19290,0,0,0,919444
8,인생은 아름다워,9.39,92300,0,4,0,225291
9,매트릭스,9.39,36800,0,1,0,897882
10,라이언 일병 구하기,9.38,15420,0,2,0,593681
11,포레스트 검프,9.38,40600,0,3,0,705143
12,월-E,9.38,1050,0,0,0,482446
13,빽 투 더 퓨쳐,9.38,1120,0,0,0,343292
14,죽은 시인의 사회,9.38,41200,0,1,0,381925
15,사운드 오브 뮤직,9.38,21660,2804,3,0,184410
16,헬프,9.38,6700,0,1,0,78752
17,토이 스토리 3,9.38,14210,1179,0,0,511917
18,나 홀로 집에,9.38,29960,946,0,0,869820
19,살인의 추억,9.37,44500,0,0,0,1912715
20,위대한 쇼맨,9.37,114300,29833,0,0,606546
21,글래디에이터,9.37,14650,0,0,0,1242055
22,센과 치히로의 행방불명,9.37,84400,0,0,0,937459
23,반지의 제왕: 왕의 귀환,9.37,2050,0,0,0,1905567
24,레옹,9.36,41080,0,0,0,606875
25,패왕별희,9.36,13950,0,1,0,247454
26,아이 캔 스피크,9.36,27770,58918,0,0,796658
27,클래식,9.36,44400,0,0,0,564348
28,동주,9.36,26200,3911,0,0,376321
29,캐스트 어웨이,9.35,79900,0,0,0,732404
30,에이리언 2,9.35,1090,0,0,0,292436
31,반지의 제왕: 두 개의 탑,9.35,1320,218,0,0,1787872
32,굿바이 마이 프랜드,9.35,240,0,0,0,0
33,여인의 향기,9.35,20330,0,1,0,54951
34,주토피아,9.35,44100,30815,0,0,1465960
35,미세스 다웃파이어,9.35,2830,0,0,0,468229
36,서유기 2 - 선리기연,9.34,170,0,0,0,0
37,세 얼간이,9.34,26540,0,0,0,195629
38,다시 태어나도 우리,9.34,2670,3215,0,0,24398
39,울지마 톤즈,9.34,5580,0,0,0,174478
40,히든 피겨스,9.34,17880,9506,0,0,194719
41,굿 윌 헌팅,9.34,38140,0,2,0,165079
42,아마데우스,9.34,10400,0,4,0,475755
43,알라딘,9.34,36110,0,1,0,7216
44,그대를 사랑합니다,9.34,10130,0,0,0,517602
45,쉰들러 리스트,9.34,13180,0,3,0,847259
46,"지금, 만나러 갑니다",9.34,6790,34613,0,0,652981
47,언터처블: 1%의 우정,9.33,4630,0,0,0,606387
48,드래곤 길들이기,9.33,14170,0,0,0,846400
49,프린스 앤 프린세스,9.33,1850,0,0,0,69557
50,아이언 자이언트,9.33,1350,0,0,0,0
51,토이 스토리,9.33,49190,0,0,0,317994
52,오페라의 유령 : 25주년 특별 공연,9.33,20,0,0,0,0
53,클레멘타인,9.33,26970,0,0,0,35013
54,모노노케 히메,9.33,9470,0,0,0,91785
55,집으로...,9.32,100,0,0,0,1576943
56,다크 나이트,9.32,46300,0,1,0,217040
57,프리퀀시,9.32,14110,0,0,0,39595
58,사랑은 비를 타고,9.32,9230,0,0,0,0
59,트루먼 쇼,9.32,222200,0,0,0,294928
60,타이타닉,9.32,60700,1443,3,0,1971780
61,빌리 엘리어트 뮤지컬 라이브,9.32,540,0,0,0,16162
62,라푼젤,9.32,38220,1438,0,0,361383
63,아이 엠 샘,9.31,22130,0,0,0,779728
64,소원,9.31,38690,25085,0,0,518005
65,아기공룡 둘리 - 얼음별 대모험,9.31,40,0,0,0,126872
