,Title,Score,Searching,VOD이용건수,해외영화제수상,국내영화제수상,관객수
15,사운드 오브 뮤직,9.38,21660,2804,3,0,184410
24,레옹,9.36,41080,0,0,0,606875
27,클래식,9.36,44400,0,0,0,564348
56,다크 나이트,9.32,46300,0,1,0,217040
60,타이타닉,9.32,60700,1443,3,0,1971780
89,빌리 엘리어트,9.29,17850,0,0,0,140549
196,인셉션,9.21,72300,2668,1,0,2026998
198,첫 키스만 50번째,9.21,14940,0,0,0,148218
251,일 포스티노,9.17,5730,0,0,0,13704
347,샤인,9.09,12960,0,1,0,151895
353,인터스텔라,9.09,624300,2855,0,0,3079036
364,이프 온리,9.08,43720,675,0,0,454606
374,아바타,9.07,43100,0,0,0,3993374
385,박하사탕,9.05,15030,0,0,0,290352
418,블랙,9.04,49000,0,0,0,310842
