,holiday,workingday,weather,temp,humidity,windspeed,year,month,day,hour,count
0,0,0,1,9.84,81,15.538655877745049,0,1,1,0,16
1,0,0,1,9.02,80,13.152979521056709,0,1,1,1,40
2,0,0,1,9.02,80,15.459806613426387,0,1,1,2,32
3,0,0,1,9.84,75,14.369251525792496,0,1,1,3,13
4,0,0,1,9.84,75,16.515852390757033,0,1,1,4,1
5,0,0,1,9.02,80,17.43413640804625,0,1,1,6,2
6,0,0,1,8.2,86,15.44516249524663,0,1,1,7,3
7,0,0,1,9.84,75,14.628958355008724,0,1,1,8,8
8,0,0,1,13.12,76,16.577833304634986,0,1,1,9,14
9,0,1,1,8.2,47,13.878834322664698,0,1,3,19,110
10,0,1,1,9.02,64,14.28710520948676,0,1,4,21,48
11,0,1,1,8.2,64,15.624780251874201,0,1,5,0,6
12,0,1,1,8.2,47,15.412006607694833,0,1,5,23,19
13,0,1,1,7.38,55,14.852073530531774,0,1,6,0,11
14,0,1,1,6.56,64,15.726732430665955,0,1,6,1,4
15,0,1,1,6.56,64,14.38920227543811,0,1,6,2,2
16,0,1,2,6.56,59,14.970003601851086,0,1,6,7,95
17,0,1,1,6.56,59,15.620998218432385,0,1,6,8,219
18,0,1,2,7.38,51,14.988669129712267,0,1,6,9,122
19,0,1,1,8.2,47,15.064537781188049,0,1,6,10,45
20,0,1,1,10.66,35,13.743857531586155,0,1,6,12,84
21,0,1,1,11.48,36,14.710267877010114,0,1,6,15,62
22,0,1,3,9.02,55,14.065404566510647,0,1,7,5,5
23,0,1,2,8.2,69,14.542739007042838,0,1,7,6,34
24,0,1,2,8.2,37,15.790486847903649,0,1,7,17,187
25,0,0,2,7.38,55,12.491318712710111,0,1,8,2,16
26,0,1,2,6.56,55,14.634140943583535,0,1,11,7,99
27,0,1,3,6.56,93,15.226671586189434,0,1,11,19,51
28,0,1,1,4.1,54,14.96989194635188,0,1,14,6,17
29,0,1,1,4.92,68,15.840003952062618,0,1,14,8,158
30,0,1,1,8.2,47,12.586996489846847,0,1,14,18,139
31,0,1,1,7.38,59,16.666170020386577,0,1,14,20,68
32,0,1,1,6.56,69,14.770967298994936,0,1,14,21,52
33,0,1,2,6.56,69,15.222473119441123,0,1,14,22,36
34,0,1,2,7.38,55,15.491250027851683,0,1,14,23,27
35,0,0,1,7.38,55,13.691471667649035,0,1,15,0,28
36,0,0,2,6.56,59,12.989565886040051,0,1,15,3,8
37,0,0,2,6.56,59,14.533280406166547,0,1,15,4,5
38,0,0,1,6.56,59,14.123451434311454,0,1,15,5,1
39,0,0,1,5.74,63,15.128859625604726,0,1,15,7,10
40,0,0,1,10.66,56,14.236378920645267,0,1,16,0,39
41,0,0,1,9.02,69,14.611654672678126,0,1,16,3,15
42,0,1,2,9.02,87,15.538796760100526,0,1,18,20,83
43,0,1,2,9.02,93,14.770093713187409,0,1,18,23,20
44,0,1,2,9.02,93,14.656218547221824,0,1,19,0,3
45,0,1,2,6.56,69,15.83738603556137,0,2,1,2,2
46,0,1,2,6.56,69,12.435710396846602,0,2,1,3,2
47,0,1,3,5.74,93,14.448036933101307,0,2,1,5,3
48,0,1,3,5.74,93,13.321676965833369,0,2,1,6,22
49,0,1,3,6.56,93,13.812151612549707,0,2,1,7,52
50,0,1,3,6.56,93,13.467157911297676,0,2,1,8,135
51,0,1,2,6.56,93,13.933892851909983,0,2,1,9,116
52,0,1,2,6.56,93,13.792203913317126,0,2,1,10,47
53,0,1,2,7.38,86,13.981331543085878,0,2,1,11,51
54,0,1,2,8.2,86,13.705053003275026,0,2,1,12,55
55,0,1,2,8.2,86,14.54622826486029,0,2,1,13,52
56,0,1,2,9.84,75,14.635986177942538,0,2,1,15,52
57,0,1,2,9.84,75,15.244949498316517,0,2,1,17,176
58,0,1,2,9.02,100,14.960310797546933,0,2,2,10,61
59,0,1,1,8.2,40,15.038060390173955,0,2,3,19,96
60,0,1,2,8.2,44,13.646276041144741,0,2,4,0,13
61,0,1,2,6.56,59,14.631769205106176,0,2,4,1,7
62,0,1,2,6.56,55,14.029599315601818,0,2,4,6,28
63,0,1,1,5.74,59,14.394764068507982,0,2,4,7,87
64,0,0,3,8.2,100,14.955909069661798,0,2,5,6,4
65,0,0,3,9.02,100,15.409267676688085,0,2,5,14,55
66,0,0,3,9.02,100,14.234268054383824,0,2,5,15,60
67,0,0,1,13.94,46,13.873010547638827,0,2,6,12,174
68,0,0,1,13.94,46,14.349045902918196,0,2,6,13,182
69,0,0,1,13.94,46,13.360691538216905,0,2,6,17,121
70,0,0,1,10.66,60,14.642531104440724,0,2,6,21,27
71,0,0,1,10.66,60,14.035315260982797,0,2,6,22,62
72,0,0,1,9.84,65,15.822518316077677,0,2,6,23,30
73,0,1,1,9.84,65,15.513690921011092,0,2,7,0,15
74,0,1,1,9.02,75,15.1978384920031,0,2,7,1,5
75,0,1,1,8.2,80,13.468418260531891,0,2,7,2,3
76,0,1,1,8.2,86,15.896195487485887,0,2,7,3,1
77,0,1,1,8.2,86,15.032611552623706,0,2,7,4,2
78,0,1,1,8.2,86,13.903210385583362,0,2,7,5,10
79,0,1,1,7.38,93,14.760622816958788,0,2,7,6,30
80,0,1,1,7.38,86,13.345794073910389,0,2,7,7,95
81,0,1,2,6.56,100,14.410574583502566,0,2,7,8,230
82,0,1,1,9.02,80,13.932681267542758,0,2,7,9,118
83,0,1,2,13.12,62,15.356737590112441,0,2,7,12,66
84,0,1,2,13.12,70,14.746710777557066,0,2,7,19,128
85,0,1,1,13.12,70,13.940744068562001,0,2,7,21,78
86,0,1,2,12.3,81,15.294272790193471,0,2,7,23,25
87,0,1,2,11.48,87,15.190176886079048,0,2,8,0,10
88,0,1,2,11.48,87,14.755623828971922,0,2,8,1,4
89,0,1,1,2.46,45,15.84816623372699,0,2,9,6,43
90,0,1,1,4.1,42,14.325899486061527,0,2,9,8,199
91,0,1,1,5.74,36,15.435876517914828,0,2,9,10,59
92,0,1,1,5.74,39,15.912372659826588,0,2,10,21,72
93,0,1,1,4.92,39,14.240181088385077,0,2,10,22,51
94,0,1,1,4.1,68,14.347978055931476,0,2,11,6,24
95,0,1,1,3.28,73,14.216960491266889,0,2,11,7,74
96,0,1,1,12.3,24,15.534517377629918,0,2,11,17,211
97,0,1,1,11.48,28,14.908502721343273,0,2,11,18,174
98,0,1,1,10.66,33,15.170111122436007,0,2,11,19,101
99,0,1,1,7.38,69,15.52110935135518,0,2,11,23,53
100,0,0,1,5.74,86,14.410516752157987,0,2,12,1,24
101,0,0,1,5.74,80,15.053338833453358,0,2,12,2,15
102,0,0,1,4.92,80,14.172342844220516,0,2,12,3,10
103,0,0,1,10.66,41,15.30264066928505,0,2,12,21,51
104,0,0,2,9.02,55,14.835192532889772,0,2,13,7,3
105,0,1,1,9.84,52,15.06617455110598,0,2,15,21,66
106,0,1,1,9.84,44,12.885206562296894,0,2,15,22,41
107,0,1,1,13.12,39,12.643994131743357,0,3,1,13,78
108,0,1,1,13.94,34,13.199688946535476,0,3,1,15,64
109,0,1,1,10.66,56,14.12296694172852,0,3,1,21,63
110,0,1,1,20.5,25,14.074050932578393,0,3,2,13,125
111,0,1,1,9.84,23,13.134235625114128,0,3,3,15,68
112,0,1,1,10.66,23,13.607043632658323,0,3,3,16,71
113,0,1,1,10.66,22,16.115110688962126,0,3,3,17,202
114,0,1,1,8.2,40,15.233899752172132,0,3,3,22,53
115,0,1,1,11.48,48,13.006226323091584,0,3,7,23,22
116,0,1,1,9.02,64,12.705253608978435,0,3,8,4,2
117,0,1,1,8.2,59,15.602770726614995,0,3,8,6,45
118,0,1,2,14.76,23,13.452976032971918,0,3,8,12,99
119,0,1,2,15.58,20,12.540967445647606,0,3,8,14,72
120,0,1,2,14.76,18,15.820835141930816,0,3,8,15,112
121,0,0,1,15.58,62,15.228473611140743,0,3,12,21,82
122,0,0,1,14.76,71,13.037145190393357,0,3,12,22,63
123,0,0,1,13.94,66,13.054229110116164,0,3,13,6,2
124,0,1,2,11.48,61,14.458915566627633,0,3,14,7,88
125,0,1,1,15.58,37,13.621078463095753,0,3,14,12,94
126,0,1,2,15.58,34,16.416451715666422,0,3,14,14,79
127,0,1,1,13.12,53,13.328151731613065,0,3,14,23,19
128,0,1,1,13.12,53,14.497058592065224,0,3,15,0,14
129,0,1,2,12.3,70,14.172707056269118,0,3,15,9,157
130,0,1,2,13.12,93,16.143289616283436,0,3,16,8,253
131,0,1,3,9.84,93,15.755669721960698,0,4,1,7,95
132,0,0,2,12.3,61,15.029309075057505,0,4,2,0,32
133,0,0,1,12.3,61,13.734177301997985,0,4,3,3,11
134,0,0,2,18.86,33,12.047371059524384,0,4,3,15,292
135,0,0,2,18.86,31,14.659165694515158,0,4,3,18,172
136,0,1,1,17.22,54,16.244049232190676,0,4,7,2,7
137,0,1,2,18.86,55,15.534392815659906,0,4,7,11,122
138,0,1,2,18.86,55,15.071699461928468,0,4,7,12,153
139,0,1,1,24.6,35,14.451310261597374,0,4,7,16,213
140,0,1,2,13.94,87,14.162383631892931,0,4,8,6,35
141,0,0,2,14.76,81,15.547457404891965,0,4,9,11,142
142,0,0,2,14.76,81,13.963750914525885,0,4,9,13,222
143,0,0,2,14.76,87,14.64059657312568,0,4,9,15,201
144,0,0,2,15.58,82,15.829760503527245,0,4,9,16,191
145,0,0,2,16.4,87,15.339097356900403,0,4,10,10,150
146,0,1,3,23.78,60,14.324230520379487,0,4,11,23,54
147,0,1,1,13.94,76,14.94232264057759,0,4,14,4,9
148,0,1,1,15.58,66,14.287209597595446,0,4,14,7,193
149,0,1,1,24.6,28,12.695355830735382,0,4,14,17,388
150,0,1,1,22.96,30,15.442871986696552,0,4,14,18,337
151,0,1,1,22.14,32,14.170172002937372,0,4,14,19,259
152,1,0,1,18.04,67,13.89344459186804,0,4,15,0,27
153,1,0,1,18.04,62,14.166786340806642,0,4,15,1,15
154,1,0,1,16.4,76,12.371265002918134,0,4,15,2,18
155,1,0,1,16.4,76,13.967912665159089,0,4,15,3,3
156,0,0,2,18.04,94,16.945207137663925,0,4,16,21,14
157,0,0,3,17.22,100,14.47294697433029,0,4,16,22,24
158,0,1,1,16.4,82,13.96398664834183,0,4,18,6,54
159,0,1,1,18.86,63,13.563737377308655,0,4,18,7,168
160,0,1,1,18.86,63,13.187478755490243,0,4,18,8,297
161,0,1,2,19.68,67,15.068252505636062,0,4,19,6,65
162,0,1,2,21.32,55,13.891973850280184,0,4,19,7,188
163,0,0,2,20.5,72,14.088290067805758,0,5,1,15,266
164,0,0,2,18.86,82,14.846180239803726,0,5,1,20,121
165,0,0,2,18.86,82,13.557145215469813,0,5,1,21,105
166,0,0,2,18.86,82,14.146649551894908,0,5,1,22,100
167,0,1,2,24.6,73,13.418267534621714,0,5,2,22,125
168,0,1,1,16.4,82,14.189581237086715,0,5,6,7,222
169,0,0,1,19.68,59,16.06621441353658,0,5,7,7,40
170,0,0,1,22.96,43,13.408910608281674,0,5,7,11,347
171,0,0,2,21.32,55,13.805929711545721,0,5,8,1,64
172,0,0,1,19.68,63,16.633971203809498,0,5,8,2,59
173,0,0,1,17.22,82,14.950698321944186,0,5,8,4,10
174,0,0,2,18.04,77,14.0916836815495,0,5,8,5,5
175,0,0,2,18.04,82,15.182978280384006,0,5,8,6,6
176,0,0,2,18.86,82,14.524286298319238,0,5,8,7,23
177,0,0,1,24.6,49,14.2892360798646,0,5,8,14,366
178,0,0,1,24.6,49,14.339510132761536,0,5,8,15,358
179,0,0,1,23.78,49,15.603486087897547,0,5,8,18,268
180,0,0,1,22.96,64,14.439533011472031,0,5,8,19,239
181,0,1,1,18.04,88,14.275497013279235,0,5,9,1,33
182,0,1,1,18.04,94,15.481477646196389,0,5,9,2,8
183,0,1,1,19.68,63,14.202936341666426,0,5,10,0,18
184,0,1,2,24.6,38,15.680591470957864,0,5,10,12,217
185,0,1,2,25.42,33,13.948423775222155,0,5,10,14,176
186,0,1,1,26.24,33,14.55313472163196,0,5,10,17,611
187,0,1,1,22.14,52,14.539421899993531,0,5,10,21,203
188,0,1,1,21.32,59,13.430026258643663,0,5,11,2,10
189,0,1,1,24.6,56,12.778434449057972,0,5,11,12,226
190,0,1,1,25.42,50,14.303244509668314,0,5,11,13,193
191,0,1,1,26.24,41,16.509740091540944,0,5,11,15,179
192,0,1,1,27.06,39,12.991268483171911,0,5,11,16,289
193,0,1,1,22.14,60,15.698918558592723,0,5,11,21,234
194,0,1,1,17.22,94,13.700832182581864,0,5,12,4,6
195,0,1,1,18.04,88,15.086448895779737,0,5,12,6,112
196,0,0,3,19.68,100,14.293476316445386,0,5,14,7,32
197,0,0,3,20.5,94,15.733232819541753,0,5,14,8,88
