"기관명","소계","2013년도 이전","2014년","2015년","2016년"
"강남구","3238","1292","430","584","932"
"강동구","1010","379","99","155","377"
"강북구","831","369","120","138","204"
"강서구","911","388","258","184","81"
"관악구","2109","846","260","390","613"
"광진구","878","573","78","53","174"
"구로구","1884","1142","173","246","323"
"금천구","1348","674","51","269","354"
"노원구","1566","542","57","451","516"
"도봉구","825","238","159","42","386"
"동대문구","1870","1070","23","198","579"
"동작구","1302","544","341","103","314"
"마포구","980","314","118","169","379"
"서대문구","1254","844","50","68","292"
"서초구","2297","1406","157","336","398"
"성동구","1327","730","91","241","265"
"성북구","1651","1009","78","360","204"
"송파구","1081","529","21","68","463"
"양천구","2482","1843","142","30","467"
"영등포구","1277","495","214","195","373"
"용산구","2096","1368","218","112","398"
"은평구","2108","1138","224","278","468"
"종로구","1619","464","314","211","630"
"중구","1023","413","190","72","348"
"중랑구","916","509","121","177","109"
