범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 마산,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,365,67,20,13,17,11,8,12,2,8,2,1,4,-,1,2,5,-,7,4,6,9,8,-,2,1,1,2,7,-,-,3,3,1,4,1,7,1,1,-,-,5,3,-,2,4,1,-,-,3,-,3,-,5,4,-,-,-,3,4,-,-,-,2,1,4,1,3,3,-,1,1,2,1,-,1,2,1,-,1,-,2,4,7,2,-,11,7,30
강력범죄,살인미수등,564,96,41,23,34,7,16,11,1,9,-,1,8,3,1,3,6,3,13,6,7,6,12,2,6,2,3,2,5,-,7,2,4,6,3,-,8,4,1,-,1,5,3,-,5,15,1,-,2,3,1,5,1,4,8,6,-,-,5,7,1,3,1,-,1,2,2,4,2,1,-,-,-,-,2,7,1,7,-,5,5,6,-,13,2,1,16,4,44
강력범죄,강도,"1,446",274,161,60,103,44,64,29,-,14,-,4,4,6,5,7,12,-,25,30,38,14,42,2,7,5,5,4,11,1,15,8,5,20,3,1,12,8,-,-,-,9,9,-,2,30,6,-,-,4,3,3,6,2,22,7,1,2,14,21,-,1,-,9,9,6,14,9,13,3,1,1,-,9,5,10,4,17,-,1,4,2,13,26,3,4,29,4,65
강력범죄,강간,"5,151",969,383,216,304,216,181,132,3,73,-,12,25,22,26,33,50,6,105,83,157,36,86,23,52,19,13,23,53,8,67,23,29,50,17,11,32,28,5,10,6,48,10,1,15,79,15,1,14,13,11,10,11,27,82,21,13,11,34,68,16,14,4,42,34,43,23,30,50,14,5,9,25,9,9,48,23,42,-,10,12,35,63,85,11,14,64,18,328
강력범죄,유사강간,518,118,24,21,35,17,14,10,1,9,-,-,3,1,2,5,2,-,12,12,21,5,2,-,4,1,-,2,9,-,10,3,3,6,1,1,4,5,1,-,2,2,9,3,2,4,5,-,1,1,-,4,7,2,6,2,-,1,3,4,1,1,1,1,5,2,2,2,6,1,2,1,2,1,-,4,2,1,-,1,1,3,1,8,1,1,12,-,33
강력범죄,강제추행,"15,059","4,282",991,645,924,495,362,293,34,256,20,77,49,73,67,75,132,36,291,319,425,171,242,42,180,44,17,81,209,30,157,59,89,161,47,25,133,56,32,12,20,75,71,8,26,229,55,6,27,39,32,26,48,64,177,62,17,21,59,176,24,19,5,81,72,51,54,55,81,25,12,13,36,23,14,90,62,114,1,20,22,59,58,172,36,32,165,28,764
강력범죄,기타 강간 강제추행등,558,94,37,20,31,22,12,9,-,7,-,2,2,3,-,2,9,-,7,14,23,6,6,3,4,3,2,2,7,-,6,4,2,4,3,-,2,1,1,3,2,7,7,2,3,12,-,-,1,-,1,1,2,2,10,4,3,-,2,6,1,2,1,3,3,1,1,3,4,2,1,1,4,4,-,8,1,7,-,1,2,1,4,13,3,1,11,2,55
강력범죄,방화,"1,673",315,117,86,94,48,41,36,5,40,1,6,6,9,7,13,26,1,38,29,40,25,30,4,12,8,2,4,15,5,22,10,9,19,17,4,14,5,4,6,3,6,3,-,3,23,4,-,3,8,4,4,5,4,22,9,5,3,10,11,6,3,-,8,7,13,5,6,10,4,2,2,8,6,3,16,12,9,-,2,7,9,12,33,-,12,23,4,148
절도범죄,절도,"245,853","55,280","20,136","12,759","10,679","8,438","9,495","5,449",638,"3,287",170,"1,234","1,072","1,042",944,"1,082","1,888",410,"5,048","3,941","6,487","1,791","4,154",844,"2,142",719,417,"1,164","2,791",307,"2,304",655,"1,136","2,160",580,575,"2,178",832,288,188,344,"1,785","1,132",130,524,"4,691",925,53,423,634,"1,325",681,769,"1,487","3,945","1,470",344,276,"1,391","3,402",565,461,46,"1,520","1,188","1,049","1,174","1,297","2,212",506,227,322,679,245,298,"2,496","1,395","2,739",2,313,358,"1,205","2,032","5,860",602,921,"3,309",643,"11,754"
폭력범죄,상해,"48,005","7,174","4,675","2,736","2,179","1,162","1,516","1,353",117,490,22,147,237,181,142,160,392,102,524,734,938,295,694,141,396,157,130,149,454,57,326,161,261,460,229,104,410,352,202,155,174,514,379,82,172,798,265,24,137,155,215,137,179,341,522,283,65,101,246,496,108,194,5,415,354,347,248,347,508,200,100,127,257,134,118,616,490,595,1,134,194,307,408,"1,187",321,269,532,149,"3,941"
